Altium Designer Pick and Place Locations
C:\Users\Renan\Documents\V1.0.0 - Copia\Placa-HAT-para-Raspberry-Pi-4-com-16-canais-para-thermal-phase-shifters-main (1)\Arquivos Gerber\Pick Place\Pick Place for RaspberryHatBoard1.csv

========================================================================================================================
File Design Information:

Date:       10/06/26
Time:       12:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J1","FH28-50S-0.5SH(05)","TopLayer","FP-FH28-50S-0_5SH_05-MFG","3153.518","1115.020","270","CONN FFC BOTTOM 50POS 0.50MM R/A"
"P1","Header","BottomLayer","FP-PPPC202LFBN-RC-MFG","1278.347","2075.984","0","THT Vertical Socket Header WR-PHD, Pitch 2.54 mm, Dual Row, 40 pins"
"R31","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1637.795","1681.102","90","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R23","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1066.929","1698.819","90","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"U23","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","433.071","1555.118","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U22","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","954.724","322.835","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U21","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","962.598","657.480","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U20","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1112.205","992.126","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U19","TLV2464CDR","TopLayer","D0014A_N","1994.094","1178.740","0","Quad Low Power, Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, 0 to 70 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)"
"U18","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1112.205","1328.740","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U17","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1112.205","1651.575","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U16","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1624.016","314.961","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U15","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1624.016","647.638","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U14","TLV2464CDR","TopLayer","D0014A_N","1389.764","1153.543","0","Quad Low Power, Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, 0 to 70 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)"
"U13","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1789.370","986.221","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U12","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1791.339","1328.740","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U11","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","2461.680","664.983","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U10","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","2452.756","996.063","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U9","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","2450.787","1318.898","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U8","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","2450.787","1653.543","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U7","AP63205WU-7","TopLayer","TSOT-23-6_A","1377.953","255.905","0","IC REG BUCK 5V 2A TSOT23-6"
"U6","AP2112K-3.3TRG1","TopLayer","FP-SOT25-IPC_A","1338.583","669.291","0","IC REG LINEAR 3.3V 600MA SOT25"
"U5","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","1791.339","1653.543","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U4","INA180A2IDBVR","BottomLayer","FP-DBV0005A-MFG","2460.630","372.047","270","IC CURR SENSE 1 CIRCUIT SOT23-5"
"U3","TLV2464CDR","TopLayer","D0014A_N","2000.000","1736.220","0","Quad Low Power, Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, 0 to 70 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)"
"U2","AD5391BSTZ-3","TopLayer","ST-52_L","578.740","1421.260","270","16 Channel 12-Bit Single-Supply Voltage Output Digital-to-Analog Converter with Serial Interface, 3 V, -40 to +85 degC, ST-52, Pb-Free, Tray"
"U1","TLV2464CDR","TopLayer","D0014A_N","1358.268","1724.409","0","Quad Low Power, Rail-to-Rail Input / Output Operational Amplifier, 2.7 to 6 V, 0 to 70 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)"
"T1","DMP4065S-7","TopLayer","FP-SOT23-MFG","555.118","677.165","270","MOSFET P-CH 40V 2.4A SOT23"
"R52","Resistor 1k +/-1% 0603 100 mW","BottomLayer","RESC0603(1608)_L","314.961","1584.646","90","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R51","Resistor 1k +/-1% 0603 100 mW","BottomLayer","RESC0603(1608)_L","854.354","330.899","90","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R50","Resistor 1k +/-1% 0603 100 mW","BottomLayer","RESC0603(1608)_L","850.394","677.165","90","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R49","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1893.701","968.504","0","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R48","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1677.166","960.630","270","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R47","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1673.228","1122.047","270","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R46","Resistor 1k +/-1% 0603 100 mW","BottomLayer","RESC0603(1608)_L","1003.937","1003.937","90","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R45","Resistor 10k +/-1% 0603 100 mW","TopLayer","RESC0603(1608)_L","1669.291","1267.716","270","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R44","Resistor 1k +/-1% 0603 100 mW","BottomLayer","RESC0603(1608)_L","1003.937","1348.425","90","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
